quadgram,count,logprob
ATEL,367621273,-1201
REPO,367267078,-1201
MOUN,367031049,-1201
ITHI,365431991,-1202
SPIR,364987348,-1202
ULTU,364961118,-1202
STAB,364791100,-1202
WEST,364687247,-1202
ELLE,364595849,-1202
HUMA,364099278,-1202
UTHO,363938772,-1202
UNCT,363613935,-1202
BERS,363206094,-1202
MITT,363098147,-1202
GURE,362920019,-1203
LTUR,362809640,-1203
TRON,362635517,-1203
INGL,362556921,-1203
ONVE,362243922,-1203
RABL,361801064,-1203
FOUR,361658650,-1203
ARAT,360611404,-1203
REVI,359826918,-1204
VOLU,359824134,-1204
BASE,359658718,-1204
RNAL,358848279,-1204
OWED,358705183,-1204
ENDS,358258270,-1204
ERTI,358099151,-1204
SONA,358013510,-1205
ACCE,357872714,-1205
CHAP,357694647,-1205
ORDS,357545215,-1205
CIAT,357451316,-1205
CELL,357193578,-1205
OING,356873805,-1205
LAIN,356650083,-1205
GICA,356466613,-1205
EDGE,356334401,-1205
MONG,355951036,-1205
DEPE,355799123,-1205
DREN,355510582,-1206
OPEN,355032115,-1206
IFIE,354810291,-1206
CORR,354644310,-1206
IDED,354391011,-1206
IALL,354296911,-1206
IVIT,354039064,-1206
RITE,353888868,-1206
IETY,353863542,-1206
TIFI,353521812,-1206
ACTO,352746347,-1207
ILLE,352336963,-1207
ITAT,351235321,-1207
ABLY,351158991,-1207
HOLE,351090079,-1207
SUAL,351037948,-1207
HARD,350935788,-1207
EPOR,350728175,-1207
REGI,350083986,-1208
OLVE,350072924,-1208
RALL,350029600,-1208
NEAR,349978168,-1208
THEO,349947947,-1208
AREA,349420371,-1208
LOWI,349107380,-1208
HOLD,349010007,-1208
SOUR,348691444,-1208
ERST,348493844,-1208
LACK,348372611,-1208
PRAC,347869298,-1209
ARTE,347712990,-1209
HOME,347260548,-1209
LOVE,346424799,-1209
ICIA,346352190,-1209
BELI,346206038,-1209
BODY,346172037,-1209
RMED,346003293,-1209
DEFI,345710785,-1210
LDRE,345131070,-1210
TYPE,345072172,-1210
LVES,344991951,-1210
ILDR,344636429,-1210
PONS,344264005,-1210
ARIN,344207061,-1210
VELY,344200591,-1210
OMME,343512836,-1210
PLOY,342925949,-1211
ROSS,342136702,-1211
NGIN,341905498,-1211
OFTE,341732469,-1211
NOTE,340523160,-1212
ORTI,340515028,-1212
SUCC,340035221,-1212
FTEN,339944748,-1212
VERT,338848833,-1212
AREN,338282436,-1213
OPME,338259886,-1213
LOPM,338135256,-1213
FIED,337734682,-1213
SEAR,337727747,-1213
ICIE,336872346,-1213
OMIC,336726918,-1213
OMES,336353999,-1214
SHIN,335816619,-1214
MPLO,335230378,-1214
UMEN,335180810,-1214
ALON,335160464,-1214
INVE,334841928,-1214
UALI,334791774,-1214
NNIN,334778447,-1214
TRIE,334654607,-1214
EARC,334566468,-1214
ELVE,334293585,-1214
LWAY,334194337,-1214
BUIL,334077340,-1215
GROW,333471460,-1215
AINI,333067906,-1215
THOD,332761193,-1215
EITH,332413283,-1215
CHRI,331612159,-1216
EALI,331598987,-1216
DECI,331379526,-1216
NECE,331010838,-1216
VERE,330650000,-1216
AMEN,330577234,-1216
IDUA,330376635,-1216
DERE,330355532,-1216
EIVE,329772317,-1216
UCCE,329569654,-1216
MPLI,328921041,-1217
CROS,328814234,-1217
MILI,328727510,-1217
SUBJ,328560179,-1217
HELP,328507099,-1217
ACTU,328431855,-1217
ARIS,328304617,-1217
ISCO,328104141,-1217
GRAN,327627994,-1217
ANNE,327385235,-1217
HRIS,327261342,-1217
OURC,327247268,-1217
ISSU,326837655,-1218
NAGE,326680952,-1218
LIMI,326379025,-1218
IVEL,326354022,-1218
URCE,326283643,-1218
GATI,325934488,-1218
HITE,325518809,-1218
PLAI,325446699,-1218
IDEA,325271929,-1218
RIBE,325256454,-1218
MPER,325109484,-1218
ELLI,324856043,-1219
NISH,324521599,-1219
PERT,324259457,-1219
ROPO,324217686,-1219
ANCI,324189413,-1219
NTAT,324050753,-1219
ENDI,324033487,-1219
RISE,323588043,-1219
SCIE,323344788,-1219
UBJE,323121414,-1219
GARD,322930349,-1219
ENED,322538833,-1220
